deg,seed,n,b_end,rootA,ratio,strict,loose
5,1,3904,0.3806267206920798,4.7421055055532175,0.0802653421030698,0,0
5,1,3503,4.191045968669625,4.7421055055532175,0.8837943322352746,0,0
5,1,4041,0.38062509673065303,4.7421055055532175,0.08026499964729254,0,0
5,2,845,5.322918292370015,1.531288174598143,3.4761048773637344,0,0
5,2,1008,5.524724865455408,1.531288174598143,3.6078936395530286,0,0
5,2,884,0.3765745986730994,1.531288174598143,0.2459201376461515,0,0
5,2,882,0.362276336294768,1.531288174598143,0.23658272969412855,0,0
5,2,995,1.9674851872896393,1.531288174598143,1.2848562536610508,0,0
5,2,1268,2.4806157255029224,1.531288174598143,1.6199535571767294,0,1
5,3,3691,3.0914889293619088,3.563829402490776,0.8674626589031601,0,0
5,3,3149,6.749973377701252,3.563829402490776,1.894022585083244,0,0
5,3,4005,3.0914875413382905,3.563829402490776,0.8674622694278341,0,0
5,3,2095,0.7706941785610164,3.563829402490776,0.2162545092709474,0,0
5,3,1682,0.26149474112686055,3.563829402490776,0.07337465170024714,0,0
5,3,3891,0.12648505608007915,3.563829402490776,0.03549133300030529,0,0
5,3,5603,7.460911025038084,3.563829402490776,2.093509588260207,0,0
